teamID,Win_Pct,Run_Diff,yearID,League_Division
NYA,0.6358024691358025,204,2019,AL E
NYN,0.5308641975308642,54,2019,NL E
OAK,0.5987654320987654,165,2019,AL W
PHI,0.5,-20,2019,NL E
PIT,0.42592592592592593,-153,2019,NL C
SDN,0.43209876543209874,-107,2019,NL W
SEA,0.41975308641975306,-135,2019,AL W
SFN,0.47530864197530864,-95,2019,NL W
SLN,0.5617283950617284,102,2019,NL C
TBA,0.5925925925925926,113,2019,AL E
TEX,0.48148148148148145,-68,2019,AL W
TOR,0.41358024691358025,-102,2019,AL E
WAS,0.5740740740740741,149,2019,NL E
ARI,0.4166666666666667,-26,2020,NL W
ATL,0.5833333333333334,60,2020,NL E
BAL,0.4166666666666667,-20,2020,AL E
BOS,0.4,-59,2020,AL E
CHA,0.5833333333333334,60,2020,AL C
CHN,0.5666666666666667,25,2020,NL C
CIN,0.5166666666666667,0,2020,NL C
CLE,0.5833333333333334,39,2020,AL C
COL,0.43333333333333335,-78,2020,NL W
DET,0.39655172413793105,-69,2020,AL C
HOU,0.48333333333333334,4,2020,AL W
KCA,0.43333333333333335,-24,2020,AL C
LAA,0.43333333333333335,-27,2020,AL W
LAN,0.7166666666666667,136,2020,NL W
MIA,0.5166666666666667,-41,2020,NL E
MIL,0.48333333333333334,-17,2020,NL C
MIN,0.6,54,2020,AL C
NYA,0.55,45,2020,AL E
NYN,0.43333333333333335,-22,2020,NL E
OAK,0.6,42,2020,AL W
PHI,0.4666666666666667,-5,2020,NL E
PIT,0.31666666666666665,-79,2020,NL C
SDN,0.6166666666666667,84,2020,NL W
SEA,0.45,-49,2020,AL W
SFN,0.48333333333333334,2,2020,NL W
SLN,0.5172413793103449,11,2020,NL C
TBA,0.6666666666666666,60,2020,AL E
TEX,0.36666666666666664,-88,2020,AL W
TOR,0.5333333333333333,-10,2020,AL E
WAS,0.43333333333333335,-8,2020,NL E
ARI,0.32098765432098764,-214,2021,NL W
ATL,0.546583850931677,134,2021,NL E
BAL,0.32098765432098764,-297,2021,AL E
BOS,0.5679012345679012,80,2021,AL E
CHA,0.5740740740740741,160,2021,AL C
CHN,0.4382716049382716,-134,2021,NL C
CIN,0.5123456790123457,26,2021,NL C
CLE,0.49382716049382713,-10,2021,AL C
COL,0.45962732919254656,-57,2021,NL W
DET,0.47530864197530864,-59,2021,AL C
HOU,0.5864197530864198,205,2021,AL W
KCA,0.4567901234567901,-102,2021,AL C
LAA,0.47530864197530864,-81,2021,AL W
LAN,0.654320987654321,269,2021,NL W
MIA,0.41358024691358025,-78,2021,NL E
MIL,0.5864197530864198,115,2021,NL C
MIN,0.4506172839506173,-105,2021,AL C
NYA,0.5679012345679012,42,2021,AL E
NYN,0.47530864197530864,-32,2021,NL E
OAK,0.5308641975308642,56,2021,AL W
PHI,0.5061728395061729,-11,2021,NL E
PIT,0.3765432098765432,-224,2021,NL C
SDN,0.4876543209876543,21,2021,NL W
SEA,0.5555555555555556,-51,2021,AL W
SFN,0.6604938271604939,210,2021,NL W
SLN,0.5555555555555556,34,2021,NL C
TBA,0.6172839506172839,206,2021,AL E
TEX,0.37037037037037035,-190,2021,AL W
TOR,0.5617283950617284,183,2021,AL E
WAS,0.4012345679012346,-96,2021,NL E
ARI,0.4567901234567901,-38,2022,NL W
ATL,0.6234567901234568,180,2022,NL E
BAL,0.5123456790123457,-14,2022,AL E
BOS,0.48148148148148145,-52,2022,AL E
CHA,0.5,-31,2022,AL C
CHN,0.4567901234567901,-74,2022,NL C
CIN,0.38271604938271603,-167,2022,NL C
CLE,0.5679012345679012,64,2022,AL C
COL,0.41975308641975306,-175,2022,NL W
DET,0.4074074074074074,-156,2022,AL C
HOU,0.654320987654321,219,2022,AL W
KCA,0.4012345679012346,-170,2022,AL C
LAA,0.4506172839506173,-45,2022,AL W
LAN,0.6851851851851852,334,2022,NL W
MIA,0.42592592592592593,-90,2022,NL E
MIL,0.5308641975308642,37,2022,NL C
MIN,0.48148148148148145,12,2022,AL C
NYA,0.6111111111111112,240,2022,AL E
NYN,0.6234567901234568,166,2022,NL E
OAK,0.37037037037037035,-202,2022,AL W
PHI,0.5370370370370371,62,2022,NL E
PIT,0.38271604938271603,-226,2022,NL C
SDN,0.5493827160493827,45,2022,NL W
SEA,0.5555555555555556,67,2022,AL W
SFN,0.5,19,2022,NL W
SLN,0.5740740740740741,135,2022,NL C
TBA,0.5308641975308642,52,2022,AL E
TEX,0.41975308641975306,-36,2022,AL W
TOR,0.5679012345679012,96,2022,AL E
WAS,0.3395061728395062,-252,2022,NL E
