,pitch_name
246,Split-Finger
247,4-Seam Fastball
248,Split-Finger
249,4-Seam Fastball
250,Split-Finger
251,4-Seam Fastball
252,4-Seam Fastball
253,Split-Finger
254,4-Seam Fastball
255,Split-Finger
256,Cutter
257,4-Seam Fastball
258,Cutter
259,Split-Finger
260,Curveball
261,4-Seam Fastball
262,Split-Finger
263,Split-Finger
264,Cutter
265,Curveball
266,Split-Finger
267,Curveball
268,Split-Finger
269,Cutter
270,4-Seam Fastball
271,Split-Finger
272,Split-Finger
273,Cutter
274,Split-Finger
275,Split-Finger
276,Curveball
277,Split-Finger
278,Split-Finger
279,Curveball
280,4-Seam Fastball
281,Split-Finger
282,Cutter
283,4-Seam Fastball
284,4-Seam Fastball
285,Cutter
286,Split-Finger
287,Cutter
288,Cutter
289,4-Seam Fastball
290,4-Seam Fastball
291,4-Seam Fastball
292,Cutter
293,Cutter
294,Curveball
295,Split-Finger
296,4-Seam Fastball
297,4-Seam Fastball
298,Cutter
299,Split-Finger
300,Split-Finger
301,Cutter
302,4-Seam Fastball
303,4-Seam Fastball
304,Cutter
305,4-Seam Fastball
306,4-Seam Fastball
307,Curveball
308,4-Seam Fastball
309,4-Seam Fastball
310,Split-Finger
311,Cutter
312,4-Seam Fastball
313,4-Seam Fastball
314,Split-Finger
315,Split-Finger
316,4-Seam Fastball
317,Cutter
318,Curveball
319,Split-Finger
320,Curveball
321,4-Seam Fastball
322,Cutter
323,Curveball
324,Split-Finger
325,Split-Finger
326,4-Seam Fastball
327,4-Seam Fastball
328,Split-Finger
329,Cutter
330,4-Seam Fastball
331,Split-Finger
332,Cutter
333,Cutter
334,4-Seam Fastball
335,Curveball
336,4-Seam Fastball
337,4-Seam Fastball
338,4-Seam Fastball
339,Cutter
340,Cutter
341,Split-Finger
342,4-Seam Fastball
343,4-Seam Fastball
344,Cutter
345,4-Seam Fastball
346,4-Seam Fastball
347,Split-Finger
348,Curveball
349,4-Seam Fastball
350,4-Seam Fastball
351,4-Seam Fastball
352,Split-Finger
353,4-Seam Fastball
354,Cutter
355,4-Seam Fastball
356,Split-Finger
357,Cutter
358,4-Seam Fastball
359,Split-Finger
360,Split-Finger
361,4-Seam Fastball
362,Split-Finger
363,Curveball
364,Split-Finger
365,Split-Finger
366,4-Seam Fastball
367,4-Seam Fastball
368,Curveball
369,4-Seam Fastball
370,Curveball
371,4-Seam Fastball
372,4-Seam Fastball
373,Split-Finger
374,4-Seam Fastball
375,Split-Finger
376,Split-Finger
377,Cutter
378,Split-Finger
379,Split-Finger
380,4-Seam Fastball
381,Cutter
382,Split-Finger
383,4-Seam Fastball
384,4-Seam Fastball
385,Curveball
386,4-Seam Fastball
387,Split-Finger
388,4-Seam Fastball
389,Split-Finger
390,4-Seam Fastball
391,4-Seam Fastball
392,Curveball
393,4-Seam Fastball
394,4-Seam Fastball
395,Cutter
396,Split-Finger
397,Split-Finger
398,4-Seam Fastball
399,Cutter
400,4-Seam Fastball
401,Split-Finger
402,4-Seam Fastball
403,4-Seam Fastball
404,4-Seam Fastball
405,4-Seam Fastball
406,Split-Finger
407,Curveball
408,4-Seam Fastball
409,Split-Finger
410,Split-Finger
411,4-Seam Fastball
412,Split-Finger
413,Split-Finger
414,4-Seam Fastball
415,4-Seam Fastball
416,Curveball
417,Split-Finger
418,4-Seam Fastball
419,Curveball
420,4-Seam Fastball
421,Split-Finger
422,4-Seam Fastball
423,4-Seam Fastball
424,Cutter
425,Split-Finger
426,4-Seam Fastball
427,Split-Finger
428,Curveball
429,4-Seam Fastball
430,Split-Finger
431,4-Seam Fastball
432,Curveball
433,Split-Finger
434,Split-Finger
435,4-Seam Fastball
436,Split-Finger
437,4-Seam Fastball
438,4-Seam Fastball
439,4-Seam Fastball
440,4-Seam Fastball
441,4-Seam Fastball
442,Curveball
443,Cutter
444,4-Seam Fastball
445,Curveball
446,Split-Finger
447,Split-Finger
448,4-Seam Fastball
449,Curveball
450,4-Seam Fastball
451,4-Seam Fastball
452,4-Seam Fastball
453,Split-Finger
454,Split-Finger
455,Curveball
456,Split-Finger
457,4-Seam Fastball
458,Cutter
459,Split-Finger
460,Split-Finger
461,Split-Finger
462,Cutter
463,4-Seam Fastball
464,4-Seam Fastball
465,Curveball
466,Split-Finger
467,4-Seam Fastball
468,Split-Finger
469,Curveball
470,4-Seam Fastball
471,Cutter
472,Curveball
473,Curveball
474,4-Seam Fastball
475,4-Seam Fastball
476,Cutter
477,Curveball
478,4-Seam Fastball
479,4-Seam Fastball
480,Split-Finger
481,4-Seam Fastball
482,Cutter
483,Split-Finger
484,4-Seam Fastball
485,Curveball
486,4-Seam Fastball
487,Curveball
488,4-Seam Fastball
489,Cutter
490,Split-Finger
491,Split-Finger
492,4-Seam Fastball
493,4-Seam Fastball
494,Slider
495,Split-Finger
496,Split-Finger
497,4-Seam Fastball
498,Split-Finger
499,Curveball
500,Cutter
501,4-Seam Fastball
502,4-Seam Fastball
503,Split-Finger
504,4-Seam Fastball
505,Split-Finger
506,Curveball
507,Slider
508,Split-Finger
509,Cutter
510,Split-Finger
511,Split-Finger
512,Cutter
513,Split-Finger
514,4-Seam Fastball
515,Split-Finger
516,Slider
517,4-Seam Fastball
518,Split-Finger
519,Curveball
520,Cutter
521,Split-Finger
522,4-Seam Fastball
523,Curveball
524,Cutter
525,Split-Finger
526,Slider
527,Split-Finger
528,Cutter
529,Slider
530,Split-Finger
531,Curveball
532,Split-Finger
533,Split-Finger
534,4-Seam Fastball
535,Split-Finger
536,Split-Finger
537,4-Seam Fastball
538,4-Seam Fastball
539,Cutter
540,Split-Finger
541,4-Seam Fastball
542,Cutter
543,Split-Finger
544,4-Seam Fastball
545,4-Seam Fastball
546,4-Seam Fastball
547,Curveball
548,Cutter
549,4-Seam Fastball
550,Curveball
551,Curveball
552,4-Seam Fastball
553,Curveball
554,Cutter
555,Split-Finger
556,4-Seam Fastball
557,Curveball
558,Curveball
559,Split-Finger
560,Curveball
561,4-Seam Fastball
562,4-Seam Fastball
563,Curveball
564,Split-Finger
565,Split-Finger
566,Curveball
567,Cutter
568,4-Seam Fastball
569,Split-Finger
570,4-Seam Fastball
571,Cutter
572,Cutter
573,Cutter
574,4-Seam Fastball
575,Cutter
576,Split-Finger
577,Curveball
578,4-Seam Fastball
579,4-Seam Fastball
580,4-Seam Fastball
581,Cutter
582,Cutter
583,Curveball
584,Cutter
585,Split-Finger
586,Cutter
587,Curveball
588,4-Seam Fastball
589,Split-Finger
590,4-Seam Fastball
591,Curveball
592,Curveball
593,4-Seam Fastball
594,Slider
595,Curveball
596,4-Seam Fastball
597,Split-Finger
598,4-Seam Fastball
599,Split-Finger
600,Curveball
601,Split-Finger
602,Slider
603,Split-Finger
604,Split-Finger
605,Slider
606,Curveball
607,Slider
608,Curveball
609,4-Seam Fastball
610,Split-Finger
611,Cutter
612,4-Seam Fastball
613,4-Seam Fastball
614,Cutter
615,4-Seam Fastball
616,Curveball
617,Split-Finger
618,4-Seam Fastball
619,Cutter
620,4-Seam Fastball
621,Split-Finger
622,4-Seam Fastball
623,Slider
624,Split-Finger
625,Curveball
626,Slider
627,4-Seam Fastball
628,Cutter
629,4-Seam Fastball
630,Curveball
631,Cutter
632,Split-Finger
633,Curveball
634,Split-Finger
635,Slider
636,Split-Finger
637,Split-Finger
638,Cutter
639,Split-Finger
640,4-Seam Fastball
641,Cutter
642,Split-Finger
643,4-Seam Fastball
644,Split-Finger
645,4-Seam Fastball
646,4-Seam Fastball
647,Cutter
648,4-Seam Fastball
649,Cutter
650,Split-Finger
651,4-Seam Fastball
652,Cutter
653,Split-Finger
654,Split-Finger
655,Curveball
656,Cutter
657,4-Seam Fastball
658,Cutter
659,4-Seam Fastball
660,4-Seam Fastball
661,Slider
662,Split-Finger
663,4-Seam Fastball
664,Split-Finger
665,Cutter
666,4-Seam Fastball
667,Cutter
668,Split-Finger
669,4-Seam Fastball
670,Slider
671,Cutter
672,4-Seam Fastball
673,4-Seam Fastball
674,Split-Finger
675,Split-Finger
676,Curveball
677,Cutter
678,Split-Finger
679,4-Seam Fastball
680,Split-Finger
681,Cutter
682,4-Seam Fastball
683,4-Seam Fastball
684,Slider
685,Slider
686,Slider
687,4-Seam Fastball
688,4-Seam Fastball
689,Slider
690,Cutter
691,Slider
692,4-Seam Fastball
693,4-Seam Fastball
694,Cutter
695,Split-Finger
696,Split-Finger
697,4-Seam Fastball
698,Split-Finger
699,4-Seam Fastball
700,Cutter
701,Curveball
702,4-Seam Fastball
703,Cutter
704,Split-Finger
705,Slider
706,Cutter
707,Split-Finger
708,Split-Finger
709,4-Seam Fastball
710,Cutter
711,Curveball
712,4-Seam Fastball
713,Cutter
714,4-Seam Fastball
715,4-Seam Fastball
716,Curveball
717,Split-Finger
718,Split-Finger
719,4-Seam Fastball
720,4-Seam Fastball
721,Slider
722,4-Seam Fastball
723,Cutter
724,4-Seam Fastball
725,4-Seam Fastball
726,4-Seam Fastball
727,Cutter
728,Split-Finger
729,Cutter
730,Cutter
731,Split-Finger
732,Split-Finger
733,Cutter
734,4-Seam Fastball
735,Split-Finger
736,Curveball
737,Split-Finger
738,Cutter
739,4-Seam Fastball
740,4-Seam Fastball
741,Slider
742,Cutter
743,Split-Finger
744,4-Seam Fastball
745,Split-Finger
746,4-Seam Fastball
747,Slider
748,Slider
749,Cutter
750,4-Seam Fastball
751,4-Seam Fastball
752,Cutter
753,Split-Finger
754,4-Seam Fastball
755,4-Seam Fastball
756,Curveball
757,Slider
758,Curveball
759,Slider
760,Split-Finger
761,4-Seam Fastball
762,Cutter
763,Split-Finger
764,Split-Finger
765,4-Seam Fastball
766,Split-Finger
767,4-Seam Fastball
768,Curveball
769,Cutter
770,4-Seam Fastball
771,4-Seam Fastball
772,4-Seam Fastball
773,Cutter
774,4-Seam Fastball
775,4-Seam Fastball
776,Curveball
777,4-Seam Fastball
778,Curveball
779,Curveball
780,4-Seam Fastball
781,Cutter
782,Split-Finger
783,Split-Finger
784,4-Seam Fastball
785,Split-Finger
786,4-Seam Fastball
787,Cutter
788,Split-Finger
789,4-Seam Fastball
790,Cutter
791,Curveball
792,Cutter
793,Split-Finger
794,Cutter
795,4-Seam Fastball
796,4-Seam Fastball
797,Split-Finger
798,Split-Finger
799,Split-Finger
800,Cutter
801,Split-Finger
802,Curveball
803,Split-Finger
804,Split-Finger
805,4-Seam Fastball
806,Curveball
807,4-Seam Fastball
808,Split-Finger
809,4-Seam Fastball
810,Split-Finger
811,Curveball
812,Curveball
813,4-Seam Fastball
814,Split-Finger
815,Split-Finger
816,4-Seam Fastball
817,Curveball
818,4-Seam Fastball
819,Split-Finger
820,Curveball
821,Split-Finger
822,Split-Finger
823,Split-Finger
824,4-Seam Fastball
825,Split-Finger
826,Curveball
827,Cutter
828,4-Seam Fastball
829,Split-Finger
830,Split-Finger
831,4-Seam Fastball
832,4-Seam Fastball
833,Curveball
834,4-Seam Fastball
835,4-Seam Fastball
836,4-Seam Fastball
837,4-Seam Fastball
838,4-Seam Fastball
839,Cutter
840,Split-Finger
841,4-Seam Fastball
842,Curveball
843,Cutter
844,4-Seam Fastball
845,4-Seam Fastball
846,4-Seam Fastball
847,Curveball
848,Split-Finger
849,Curveball
850,4-Seam Fastball
851,Cutter
852,Curveball
853,Split-Finger
854,Cutter
855,Curveball
856,Curveball
857,4-Seam Fastball
858,Cutter
859,4-Seam Fastball
860,Split-Finger
861,Split-Finger
862,Curveball
863,4-Seam Fastball
864,Cutter
865,4-Seam Fastball
866,Split-Finger
867,4-Seam Fastball
868,4-Seam Fastball
869,Cutter
870,4-Seam Fastball
871,Cutter
872,4-Seam Fastball
873,Split-Finger
874,Cutter
875,Cutter
876,Split-Finger
877,Curveball
878,Curveball
879,Curveball
880,Split-Finger
881,4-Seam Fastball
882,Split-Finger
883,Split-Finger
884,4-Seam Fastball
885,4-Seam Fastball
886,Split-Finger
887,4-Seam Fastball
888,4-Seam Fastball
889,Slider
890,Split-Finger
891,Curveball
892,4-Seam Fastball
893,4-Seam Fastball
894,4-Seam Fastball
895,Split-Finger
896,Split-Finger
897,Cutter
898,4-Seam Fastball
899,4-Seam Fastball
900,Slider
901,4-Seam Fastball
902,Split-Finger
903,Split-Finger
904,Slider
905,Cutter
906,4-Seam Fastball
907,4-Seam Fastball
908,Split-Finger
909,Split-Finger
910,Curveball
911,Cutter
912,Split-Finger
913,Split-Finger
914,Cutter
915,Split-Finger
916,4-Seam Fastball
917,Split-Finger
918,4-Seam Fastball
919,4-Seam Fastball
920,Split-Finger
921,Split-Finger
922,Cutter
923,4-Seam Fastball
924,4-Seam Fastball
925,Slider
926,Cutter
927,4-Seam Fastball
928,Slider
929,Cutter
930,Curveball
931,Cutter
932,Slider
933,4-Seam Fastball
934,Split-Finger
935,Slider
936,Curveball
937,4-Seam Fastball
938,Split-Finger
939,Cutter
940,Split-Finger
941,4-Seam Fastball
942,Cutter
943,4-Seam Fastball
944,Cutter
945,4-Seam Fastball
946,Cutter
947,Curveball
948,Curveball
949,Slider
950,Split-Finger
951,Cutter
952,4-Seam Fastball
953,4-Seam Fastball
954,4-Seam Fastball
955,Cutter
956,4-Seam Fastball
957,Curveball
958,4-Seam Fastball
959,4-Seam Fastball
960,Split-Finger
961,Split-Finger
962,4-Seam Fastball
963,Split-Finger
964,4-Seam Fastball
965,Slider
966,Curveball
967,Slider
968,Cutter
969,Split-Finger
970,4-Seam Fastball
971,Slider
972,Split-Finger
973,4-Seam Fastball
974,Curveball
975,Split-Finger
976,Curveball
977,4-Seam Fastball
978,Split-Finger
979,Slider
980,4-Seam Fastball
981,Split-Finger
982,Curveball
983,Curveball
984,4-Seam Fastball
985,Split-Finger
986,Slider
987,Cutter
988,Cutter
989,Curveball
990,4-Seam Fastball
991,Cutter
992,Cutter
993,4-Seam Fastball
994,Curveball
995,4-Seam Fastball
996,Cutter
997,Split-Finger
998,Slider
999,Split-Finger
1000,4-Seam Fastball
1001,Slider
1002,Split-Finger
1003,4-Seam Fastball
1004,Curveball
1005,Curveball
1006,Curveball
1007,Curveball
1008,4-Seam Fastball
1009,4-Seam Fastball
1010,Slider
1011,Cutter
1012,Cutter
1013,Split-Finger
1014,Cutter
1015,Curveball
1016,4-Seam Fastball
1017,Curveball
1018,Cutter
1019,4-Seam Fastball
1020,Curveball
1021,Cutter
1022,4-Seam Fastball
1023,Cutter
1024,Curveball
1025,Slider
1026,Curveball
1027,4-Seam Fastball
1028,Cutter
1029,4-Seam Fastball
1030,Cutter
1031,4-Seam Fastball
1032,Split-Finger
1033,4-Seam Fastball
1034,4-Seam Fastball
1035,Split-Finger
1036,Curveball
1037,4-Seam Fastball
1038,Slider
1039,Split-Finger
1040,4-Seam Fastball
1041,Cutter
1042,Split-Finger
1043,Slider
1044,4-Seam Fastball
1045,Split-Finger
1046,Cutter
1047,4-Seam Fastball
1048,Split-Finger
1049,Cutter
1050,Curveball
1051,Slider
1052,Split-Finger
1053,Curveball
1054,Curveball
1055,Slider
1056,Cutter
1057,Cutter
1058,4-Seam Fastball
1059,4-Seam Fastball
1060,4-Seam Fastball
1061,4-Seam Fastball
1062,Split-Finger
1063,Cutter
1064,Split-Finger
1065,Curveball
1066,Split-Finger
1067,4-Seam Fastball
1068,Split-Finger
1069,4-Seam Fastball
1070,Cutter
1071,Cutter
1072,Split-Finger
1073,Split-Finger
1074,Curveball
1075,Split-Finger
1076,Curveball
1077,Split-Finger
1078,Cutter
1079,4-Seam Fastball
1080,Split-Finger
1081,Cutter
1082,4-Seam Fastball
1083,4-Seam Fastball
1084,Curveball
1085,Split-Finger
1086,Split-Finger
1087,Curveball
1088,4-Seam Fastball
1089,Cutter
1090,Curveball
1091,Cutter
1092,Split-Finger
1093,Cutter
1094,Curveball
1095,4-Seam Fastball
1096,Split-Finger
1097,4-Seam Fastball
1098,Curveball
1099,4-Seam Fastball
1100,Split-Finger
1101,Curveball
1102,Cutter
1103,Cutter
1104,Slider
1105,4-Seam Fastball
1106,Split-Finger
1107,Curveball
1108,Slider
1109,4-Seam Fastball
1110,Curveball
1111,4-Seam Fastball
1112,4-Seam Fastball
1113,4-Seam Fastball
1114,Split-Finger
1115,4-Seam Fastball
1116,4-Seam Fastball
1117,4-Seam Fastball
1118,Split-Finger
1119,Curveball
1120,Split-Finger
1121,4-Seam Fastball
1122,4-Seam Fastball
1123,Cutter
1124,4-Seam Fastball
1125,Split-Finger
1126,4-Seam Fastball
1127,4-Seam Fastball
1128,Split-Finger
1129,Curveball
1130,4-Seam Fastball
1131,4-Seam Fastball
1132,4-Seam Fastball
1133,Split-Finger
1134,4-Seam Fastball
1135,Split-Finger
1136,4-Seam Fastball
1137,Curveball
1138,4-Seam Fastball
1139,Curveball
1140,Cutter
1141,Split-Finger
1142,4-Seam Fastball
1143,Split-Finger
1144,4-Seam Fastball
1145,Split-Finger
1146,Split-Finger
1147,4-Seam Fastball
1148,4-Seam Fastball
1149,4-Seam Fastball
1150,4-Seam Fastball
1151,Cutter
1152,Cutter
1153,Split-Finger
1154,4-Seam Fastball
1155,Cutter
1156,Split-Finger
1157,Cutter
1158,Split-Finger
1159,Split-Finger
1160,4-Seam Fastball
1161,4-Seam Fastball
1162,Split-Finger
1163,4-Seam Fastball
1164,Split-Finger
1165,Curveball
1166,Slider
1167,Split-Finger
1168,Split-Finger
1169,Cutter
1170,4-Seam Fastball
1171,4-Seam Fastball
1172,4-Seam Fastball
1173,Split-Finger
1174,4-Seam Fastball
1175,4-Seam Fastball
1176,Split-Finger
1177,4-Seam Fastball
1178,Split-Finger
1179,4-Seam Fastball
1180,Split-Finger
1181,Split-Finger
1182,4-Seam Fastball
1183,Split-Finger
1184,Cutter
1185,Split-Finger
1186,Split-Finger
1187,Split-Finger
1188,4-Seam Fastball
1189,Split-Finger
1190,Split-Finger
1191,Curveball
1192,Cutter
1193,Curveball
1194,4-Seam Fastball
1195,Split-Finger
1196,Split-Finger
1197,4-Seam Fastball
1198,4-Seam Fastball
1199,Split-Finger
1200,Cutter
1201,Cutter
1202,Split-Finger
1203,4-Seam Fastball
1204,Split-Finger
1205,4-Seam Fastball
1206,Cutter
1207,Split-Finger
1208,Split-Finger
1209,4-Seam Fastball
1210,Cutter
1211,4-Seam Fastball
1212,Slider
1213,Slider
1214,4-Seam Fastball
1215,4-Seam Fastball
1216,Split-Finger
1217,4-Seam Fastball
1218,Split-Finger
1219,4-Seam Fastball
1220,4-Seam Fastball
1221,4-Seam Fastball
1222,Cutter
1223,Cutter
1224,Split-Finger
1225,Curveball
1226,Cutter
1227,Curveball
1228,Split-Finger
1229,4-Seam Fastball
1230,4-Seam Fastball
1231,Split-Finger
1232,4-Seam Fastball
1233,4-Seam Fastball
1234,Split-Finger
1235,Curveball
1236,4-Seam Fastball
1237,Split-Finger
1238,4-Seam Fastball
1239,4-Seam Fastball
1240,Split-Finger
1241,4-Seam Fastball
1242,Split-Finger
1243,Curveball
1244,Split-Finger
1245,4-Seam Fastball
1246,Cutter
1247,4-Seam Fastball
1248,Split-Finger
1249,4-Seam Fastball
1250,Cutter
1251,Split-Finger
1252,4-Seam Fastball
1253,Split-Finger
1254,Cutter
1255,4-Seam Fastball
1256,Curveball
1257,4-Seam Fastball
1258,Split-Finger
1259,Split-Finger
1260,4-Seam Fastball
1261,4-Seam Fastball
1262,4-Seam Fastball
1263,4-Seam Fastball
1264,4-Seam Fastball
1265,Split-Finger
1266,4-Seam Fastball
1267,Split-Finger
1268,Cutter
1269,Split-Finger
1270,4-Seam Fastball
1271,Split-Finger
1272,Cutter
1273,Split-Finger
1274,4-Seam Fastball
1275,Split-Finger
1276,Cutter
1277,4-Seam Fastball
1278,4-Seam Fastball
1279,Cutter
1280,Curveball
1281,Split-Finger
1282,Split-Finger
1283,Cutter
1284,Curveball
1285,4-Seam Fastball
1286,Curveball
1287,Curveball
1288,4-Seam Fastball
1289,4-Seam Fastball
1290,Curveball
1291,Cutter
1292,4-Seam Fastball
1293,4-Seam Fastball
1294,Split-Finger
1295,4-Seam Fastball
1296,Cutter
1297,4-Seam Fastball
1298,4-Seam Fastball
1299,Split-Finger
1300,Split-Finger
1301,Slider
1302,Split-Finger
1303,Curveball
1304,4-Seam Fastball
1305,Split-Finger
1306,4-Seam Fastball
1307,Split-Finger
1308,Curveball
1309,4-Seam Fastball
1310,4-Seam Fastball
1311,Split-Finger
1312,Split-Finger
1313,4-Seam Fastball
1314,Split-Finger
1315,Split-Finger
1316,Curveball
1317,4-Seam Fastball
1318,Curveball
1319,Split-Finger
1320,4-Seam Fastball
1321,4-Seam Fastball
1322,4-Seam Fastball
1323,Curveball
1324,4-Seam Fastball
1325,Split-Finger
1326,Split-Finger
1327,Split-Finger
1328,4-Seam Fastball
1329,Cutter
1330,4-Seam Fastball
1331,4-Seam Fastball
1332,4-Seam Fastball
1333,Curveball
1334,Split-Finger
1335,Split-Finger
1336,Split-Finger
1337,4-Seam Fastball
1338,Cutter
1339,Split-Finger
1340,Split-Finger
1341,4-Seam Fastball
1342,4-Seam Fastball
1343,Slider
1344,4-Seam Fastball
1345,Cutter
1346,4-Seam Fastball
1347,4-Seam Fastball
1348,Curveball
1349,Split-Finger
1350,4-Seam Fastball
1351,4-Seam Fastball
1352,Cutter
1353,4-Seam Fastball
1354,4-Seam Fastball
1355,4-Seam Fastball
1356,4-Seam Fastball
1357,Split-Finger
1358,Split-Finger
1359,Split-Finger
1360,4-Seam Fastball
1361,4-Seam Fastball
1362,Cutter
1363,Cutter
1364,Curveball
1365,4-Seam Fastball
1366,4-Seam Fastball
1367,4-Seam Fastball
1368,Curveball
1369,Split-Finger
1370,4-Seam Fastball
1371,Split-Finger
1372,4-Seam Fastball
1373,4-Seam Fastball
1374,4-Seam Fastball
1375,Split-Finger
1376,4-Seam Fastball
1377,4-Seam Fastball
1378,Split-Finger
1379,Cutter
1380,4-Seam Fastball
1381,Curveball
1382,Split-Finger
1383,Cutter
1384,Split-Finger
1385,Cutter
1386,4-Seam Fastball
1387,Split-Finger
1388,Split-Finger
1389,4-Seam Fastball
1390,4-Seam Fastball
1391,Split-Finger
1392,Cutter
1393,4-Seam Fastball
1394,Split-Finger
1395,Cutter
1396,Cutter
1397,4-Seam Fastball
1398,Split-Finger
1399,Split-Finger
1400,4-Seam Fastball
1401,Split-Finger
1402,4-Seam Fastball
1403,4-Seam Fastball
1404,4-Seam Fastball
1405,Curveball
1406,Split-Finger
1407,Cutter
1408,Split-Finger
1409,4-Seam Fastball
1410,4-Seam Fastball
1411,Cutter
1412,Split-Finger
1413,Cutter
1414,Cutter
1415,Split-Finger
1416,4-Seam Fastball
1417,Curveball
1418,4-Seam Fastball
1419,Split-Finger
1420,4-Seam Fastball
1421,Cutter
1422,Cutter
1423,Split-Finger
1424,Curveball
1425,Slider
1426,4-Seam Fastball
1427,Curveball
1428,Cutter
1429,4-Seam Fastball
1430,4-Seam Fastball
1431,Cutter
1432,Split-Finger
1433,Curveball
1434,Split-Finger
1435,4-Seam Fastball
1436,4-Seam Fastball
1437,4-Seam Fastball
1438,4-Seam Fastball
1439,Split-Finger
1440,Cutter
1441,4-Seam Fastball
1442,4-Seam Fastball
1443,Cutter
1444,Split-Finger
1445,4-Seam Fastball
1446,4-Seam Fastball
1447,4-Seam Fastball
1448,Curveball
1449,4-Seam Fastball
1450,Cutter
1451,Split-Finger
